round,id,score,position,services
68,1,27637.691604193977,9,"[{""lost"":212,""score"":2637.6916041939744,""stolen"":0,""shortname"":""SeaOfHackerz"",""totalScore"":2637.6916041939744,""totalChecks"":68,""successfulChecks"":68},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""ArcaneLink"",""totalScore"":5000,""totalChecks"":68,""successfulChecks"":68},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-1"",""totalScore"":5000,""totalChecks"":68,""successfulChecks"":68},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-2"",""totalScore"":5000,""totalChecks"":68,""successfulChecks"":68},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""NorthernFiles"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""UberPendragon"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0}]"
68,0,27549.268376333923,10,"[{""lost"":219,""score"":2549.268376333921,""stolen"":0,""shortname"":""SeaOfHackerz"",""totalScore"":2549.268376333921,""totalChecks"":68,""successfulChecks"":68},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""ArcaneLink"",""totalScore"":5000,""totalChecks"":68,""successfulChecks"":68},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-1"",""totalScore"":5000,""totalChecks"":68,""successfulChecks"":68},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-2"",""totalScore"":5000,""totalChecks"":68,""successfulChecks"":68},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""NorthernFiles"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""UberPendragon"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0}]"
140,9,33984.12759715694,3,"[{""lost"":59,""score"":9248.366644132146,""stolen"":633,""shortname"":""SeaOfHackerz"",""totalScore"":8984.127597156941,""totalChecks"":140,""successfulChecks"":136},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""ArcaneLink"",""totalScore"":5000,""totalChecks"":140,""successfulChecks"":140},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-1"",""totalScore"":5000,""totalChecks"":140,""successfulChecks"":140},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-2"",""totalScore"":5000,""totalChecks"":140,""successfulChecks"":140},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""NorthernFiles"",""totalScore"":5000,""totalChecks"":51,""successfulChecks"":51},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""UberPendragon"",""totalScore"":5000,""totalChecks"":51,""successfulChecks"":51}]"
140,8,30844.88860727567,4,"[{""lost"":36,""score"":9156.486373446194,""stolen"":612,""shortname"":""SeaOfHackerz"",""totalScore"":8502.451632485752,""totalChecks"":140,""successfulChecks"":130},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""ArcaneLink"",""totalScore"":4857.142857142857,""totalChecks"":140,""successfulChecks"":136},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-1"",""totalScore"":4892.857142857143,""totalChecks"":140,""successfulChecks"":137},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-2"",""totalScore"":4357.142857142857,""totalChecks"":140,""successfulChecks"":122},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""NorthernFiles"",""totalScore"":3235.294117647059,""totalChecks"":51,""successfulChecks"":33},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""UberPendragon"",""totalScore"":5000,""totalChecks"":51,""successfulChecks"":51}]"
69,6,32850.985676843746,1,"[{""lost"":11,""score"":8334.123256957211,""stolen"":298,""shortname"":""SeaOfHackerz"",""totalScore"":7850.985676843749,""totalChecks"":69,""successfulChecks"":65},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""ArcaneLink"",""totalScore"":5000,""totalChecks"":69,""successfulChecks"":69},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-1"",""totalScore"":5000,""totalChecks"":69,""successfulChecks"":69},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-2"",""totalScore"":5000,""totalChecks"":69,""successfulChecks"":69},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""NorthernFiles"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""UberPendragon"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0}]"
69,9,32247.90282816807,2,"[{""lost"":51,""score"":7464.258136471593,""stolen"":267,""shortname"":""SeaOfHackerz"",""totalScore"":7247.9028281680685,""totalChecks"":69,""successfulChecks"":67},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""ArcaneLink"",""totalScore"":5000,""totalChecks"":69,""successfulChecks"":69},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-1"",""totalScore"":5000,""totalChecks"":69,""successfulChecks"":69},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-2"",""totalScore"":5000,""totalChecks"":69,""successfulChecks"":69},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""NorthernFiles"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""UberPendragon"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0}]"
69,4,31813.35122032228,3,"[{""lost"":32,""score"":7706.9054787252035,""stolen"":293,""shortname"":""SeaOfHackerz"",""totalScore"":6813.351220322282,""totalChecks"":69,""successfulChecks"":61},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""ArcaneLink"",""totalScore"":5000,""totalChecks"":69,""successfulChecks"":69},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-1"",""totalScore"":5000,""totalChecks"":69,""successfulChecks"":69},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-2"",""totalScore"":5000,""totalChecks"":69,""successfulChecks"":69},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""NorthernFiles"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""UberPendragon"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0}]"
69,8,30500.635428762096,4,"[{""lost"":27,""score"":7135.616580707692,""stolen"":224,""shortname"":""SeaOfHackerz"",""totalScore"":6515.128182385284,""totalChecks"":69,""successfulChecks"":63},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""ArcaneLink"",""totalScore"":5000,""totalChecks"":69,""successfulChecks"":69},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-1"",""totalScore"":4782.608695652174,""totalChecks"":69,""successfulChecks"":66},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-2"",""totalScore"":4202.898550724637,""totalChecks"":69,""successfulChecks"":58},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""NorthernFiles"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""UberPendragon"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0}]"
69,5,29215.199423376485,5,"[{""lost"":148,""score"":5288.159276599592,""stolen"":166,""shortname"":""SeaOfHackerz"",""totalScore"":4215.199423376486,""totalChecks"":69,""successfulChecks"":55},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""ArcaneLink"",""totalScore"":5000,""totalChecks"":69,""successfulChecks"":69},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-1"",""totalScore"":5000,""totalChecks"":69,""successfulChecks"":69},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-2"",""totalScore"":5000,""totalChecks"":69,""successfulChecks"":69},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""NorthernFiles"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""UberPendragon"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0}]"
69,7,28249.09950917813,6,"[{""lost"":110,""score"":3736.4644355548485,""stolen"":6,""shortname"":""SeaOfHackerz"",""totalScore"":3249.099509178129,""totalChecks"":69,""successfulChecks"":60},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""ArcaneLink"",""totalScore"":5000,""totalChecks"":69,""successfulChecks"":69},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-1"",""totalScore"":5000,""totalChecks"":69,""successfulChecks"":69},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-2"",""totalScore"":5000,""totalChecks"":69,""successfulChecks"":69},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""NorthernFiles"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""UberPendragon"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0}]"
69,3,27611.934758742733,7,"[{""lost"":217,""score"":2611.934758742735,""stolen"":0,""shortname"":""SeaOfHackerz"",""totalScore"":2611.934758742735,""totalChecks"":69,""successfulChecks"":69},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""ArcaneLink"",""totalScore"":5000,""totalChecks"":69,""successfulChecks"":69},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-1"",""totalScore"":5000,""totalChecks"":69,""successfulChecks"":69},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-2"",""totalScore"":5000,""totalChecks"":69,""successfulChecks"":69},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""NorthernFiles"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""UberPendragon"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0}]"
69,2,27606.76001044961,8,"[{""lost"":217,""score"":2606.760010449611,""stolen"":0,""shortname"":""SeaOfHackerz"",""totalScore"":2606.760010449611,""totalChecks"":69,""successfulChecks"":69},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""ArcaneLink"",""totalScore"":5000,""totalChecks"":69,""successfulChecks"":69},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-1"",""totalScore"":5000,""totalChecks"":69,""successfulChecks"":69},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-2"",""totalScore"":5000,""totalChecks"":69,""successfulChecks"":69},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""NorthernFiles"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""UberPendragon"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0}]"
69,1,27601.65493540295,9,"[{""lost"":217,""score"":2601.6549354029503,""stolen"":0,""shortname"":""SeaOfHackerz"",""totalScore"":2601.6549354029503,""totalChecks"":69,""successfulChecks"":69},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""ArcaneLink"",""totalScore"":5000,""totalChecks"":69,""successfulChecks"":69},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-1"",""totalScore"":5000,""totalChecks"":69,""successfulChecks"":69},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-2"",""totalScore"":5000,""totalChecks"":69,""successfulChecks"":69},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""NorthernFiles"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""UberPendragon"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0}]"
69,0,27514.123130388572,10,"[{""lost"":224,""score"":2514.1231303885747,""stolen"":0,""shortname"":""SeaOfHackerz"",""totalScore"":2514.1231303885747,""totalChecks"":69,""successfulChecks"":69},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""ArcaneLink"",""totalScore"":5000,""totalChecks"":69,""successfulChecks"":69},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-1"",""totalScore"":5000,""totalChecks"":69,""successfulChecks"":69},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-2"",""totalScore"":5000,""totalChecks"":69,""successfulChecks"":69},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""NorthernFiles"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""UberPendragon"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0}]"
151,6,37458.19875775539,1,"[{""lost"":32,""score"":10397.678021914673,""stolen"":804,""shortname"":""SeaOfHackerz"",""totalScore"":9846.807663137737,""totalChecks"":151,""successfulChecks"":143},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""ArcaneLink"",""totalScore"":5000,""totalChecks"":151,""successfulChecks"":151},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-1"",""totalScore"":4966.887417218543,""totalChecks"":151,""successfulChecks"":151},{""lost"":0,""score"":7776.649830947364,""stolen"":220,""shortname"":""MaScroll-2"",""totalScore"":7725.148838689433,""totalChecks"":151,""successfulChecks"":151},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""NorthernFiles"",""totalScore"":5000,""totalChecks"":62,""successfulChecks"":62},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""UberPendragon"",""totalScore"":4919.354838709677,""totalChecks"":62,""successfulChecks"":61}]"
140,7,28178.83585616498,6,"[{""lost"":369,""score"":4169.529888711361,""stolen"":283,""shortname"":""SeaOfHackerz"",""totalScore"":3841.92396888404,""totalChecks"":140,""successfulChecks"":129},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""ArcaneLink"",""totalScore"":5000,""totalChecks"":140,""successfulChecks"":140},{""lost"":21,""score"":4715.546347513775,""stolen"":0,""shortname"":""MaScroll-1"",""totalScore"":4479.769030138086,""totalChecks"":140,""successfulChecks"":133},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-2"",""totalScore"":4857.142857142857,""totalChecks"":140,""successfulChecks"":136},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""NorthernFiles"",""totalScore"":5000,""totalChecks"":51,""successfulChecks"":51},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""UberPendragon"",""totalScore"":5000,""totalChecks"":51,""successfulChecks"":51}]"
70,6,32907.38963131633,1,"[{""lost"":12,""score"":8386.62536654762,""stolen"":306,""shortname"":""SeaOfHackerz"",""totalScore"":7907.389631316327,""totalChecks"":70,""successfulChecks"":66},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""ArcaneLink"",""totalScore"":5000,""totalChecks"":70,""successfulChecks"":70},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-1"",""totalScore"":5000,""totalChecks"":70,""successfulChecks"":70},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-2"",""totalScore"":5000,""totalChecks"":70,""successfulChecks"":70},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""NorthernFiles"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""UberPendragon"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0}]"
70,9,32331.46960263083,2,"[{""lost"":51,""score"":7547.1010615317355,""stolen"":275,""shortname"":""SeaOfHackerz"",""totalScore"":7331.469602630828,""totalChecks"":70,""successfulChecks"":68},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""ArcaneLink"",""totalScore"":5000,""totalChecks"":70,""successfulChecks"":70},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-1"",""totalScore"":5000,""totalChecks"":70,""successfulChecks"":70},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-2"",""totalScore"":5000,""totalChecks"":70,""successfulChecks"":70},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""NorthernFiles"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""UberPendragon"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0}]"
70,4,31826.939465720436,3,"[{""lost"":34,""score"":7707.834880652106,""stolen"":298,""shortname"":""SeaOfHackerz"",""totalScore"":6826.939465720437,""totalChecks"":70,""successfulChecks"":62},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""ArcaneLink"",""totalScore"":5000,""totalChecks"":70,""successfulChecks"":70},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-1"",""totalScore"":5000,""totalChecks"":70,""successfulChecks"":70},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-2"",""totalScore"":5000,""totalChecks"":70,""successfulChecks"":70},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""NorthernFiles"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""UberPendragon"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0}]"
70,8,30464.825978220622,4,"[{""lost"":28,""score"":7149.028413678806,""stolen"":228,""shortname"":""SeaOfHackerz"",""totalScore"":6536.254549649194,""totalChecks"":70,""successfulChecks"":64},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""ArcaneLink"",""totalScore"":5000,""totalChecks"":70,""successfulChecks"":70},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-1"",""totalScore"":4785.714285714286,""totalChecks"":70,""successfulChecks"":67},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-2"",""totalScore"":4142.857142857143,""totalChecks"":70,""successfulChecks"":58},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""NorthernFiles"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""UberPendragon"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0}]"
70,5,29243.598244759654,5,"[{""lost"":150,""score"":5304.497805949569,""stolen"":170,""shortname"":""SeaOfHackerz"",""totalScore"":4243.598244759655,""totalChecks"":70,""successfulChecks"":56},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""ArcaneLink"",""totalScore"":5000,""totalChecks"":70,""successfulChecks"":70},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-1"",""totalScore"":5000,""totalChecks"":70,""successfulChecks"":70},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-2"",""totalScore"":5000,""totalChecks"":70,""successfulChecks"":70},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""NorthernFiles"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""UberPendragon"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0}]"
70,7,28234.11649775738,6,"[{""lost"":113,""score"":3711.281226934696,""stolen"":6,""shortname"":""SeaOfHackerz"",""totalScore"":3234.116497757378,""totalChecks"":70,""successfulChecks"":61},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""ArcaneLink"",""totalScore"":5000,""totalChecks"":70,""successfulChecks"":70},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-1"",""totalScore"":5000,""totalChecks"":70,""successfulChecks"":70},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-2"",""totalScore"":5000,""totalChecks"":70,""successfulChecks"":70},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""NorthernFiles"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""UberPendragon"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0}]"
70,3,27576.456152963918,7,"[{""lost"":222,""score"":2576.4561529639172,""stolen"":0,""shortname"":""SeaOfHackerz"",""totalScore"":2576.4561529639172,""totalChecks"":70,""successfulChecks"":70},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""ArcaneLink"",""totalScore"":5000,""totalChecks"":70,""successfulChecks"":70},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-1"",""totalScore"":5000,""totalChecks"":70,""successfulChecks"":70},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-2"",""totalScore"":5000,""totalChecks"":70,""successfulChecks"":70},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""NorthernFiles"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""UberPendragon"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0}]"
70,2,27571.330149696667,8,"[{""lost"":222,""score"":2571.330149696665,""stolen"":0,""shortname"":""SeaOfHackerz"",""totalScore"":2571.330149696665,""totalChecks"":70,""successfulChecks"":70},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""ArcaneLink"",""totalScore"":5000,""totalChecks"":70,""successfulChecks"":70},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-1"",""totalScore"":5000,""totalChecks"":70,""successfulChecks"":70},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-2"",""totalScore"":5000,""totalChecks"":70,""successfulChecks"":70},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""NorthernFiles"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""UberPendragon"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0}]"
70,1,27566.245639201232,9,"[{""lost"":222,""score"":2566.2456392012336,""stolen"":0,""shortname"":""SeaOfHackerz"",""totalScore"":2566.2456392012336,""totalChecks"":70,""successfulChecks"":70},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""ArcaneLink"",""totalScore"":5000,""totalChecks"":70,""successfulChecks"":70},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-1"",""totalScore"":5000,""totalChecks"":70,""successfulChecks"":70},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-2"",""totalScore"":5000,""totalChecks"":70,""successfulChecks"":70},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""NorthernFiles"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""UberPendragon"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0}]"
70,0,27479.599302843664,10,"[{""lost"":229,""score"":2479.5993028436646,""stolen"":0,""shortname"":""SeaOfHackerz"",""totalScore"":2479.5993028436646,""totalChecks"":70,""successfulChecks"":70},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""ArcaneLink"",""totalScore"":5000,""totalChecks"":70,""successfulChecks"":70},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-1"",""totalScore"":5000,""totalChecks"":70,""successfulChecks"":70},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-2"",""totalScore"":5000,""totalChecks"":70,""successfulChecks"":70},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""NorthernFiles"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""UberPendragon"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0}]"
140,3,25439.566914823685,7,"[{""lost"":590,""score"":786.6433401452634,""stolen"":0,""shortname"":""SeaOfHackerz"",""totalScore"":786.6433401452634,""totalChecks"":140,""successfulChecks"":140},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""ArcaneLink"",""totalScore"":5000,""totalChecks"":140,""successfulChecks"":140},{""lost"":23,""score"":4688.637860392709,""stolen"":0,""shortname"":""MaScroll-1"",""totalScore"":4688.637860392709,""totalChecks"":140,""successfulChecks"":140},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-2"",""totalScore"":4964.285714285715,""totalChecks"":140,""successfulChecks"":139},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""NorthernFiles"",""totalScore"":5000,""totalChecks"":51,""successfulChecks"":51},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""UberPendragon"",""totalScore"":5000,""totalChecks"":51,""successfulChecks"":51}]"
140,2,24608.006364749624,8,"[{""lost"":590,""score"":783.1331544922638,""stolen"":0,""shortname"":""SeaOfHackerz"",""totalScore"":783.1331544922638,""totalChecks"":140,""successfulChecks"":140},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""ArcaneLink"",""totalScore"":5000,""totalChecks"":140,""successfulChecks"":140},{""lost"":30,""score"":4578.090611217472,""stolen"":0,""shortname"":""MaScroll-1"",""totalScore"":4578.090611217472,""totalChecks"":140,""successfulChecks"":140},{""lost"":57,""score"":4246.782599039889,""stolen"":0,""shortname"":""MaScroll-2"",""totalScore"":4246.782599039889,""totalChecks"":140,""successfulChecks"":140},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""NorthernFiles"",""totalScore"":5000,""totalChecks"":51,""successfulChecks"":51},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""UberPendragon"",""totalScore"":5000,""totalChecks"":51,""successfulChecks"":51}]"
71,6,32977.81367569063,1,"[{""lost"":13,""score"":8454.101059313954,""stolen"":315,""shortname"":""SeaOfHackerz"",""totalScore"":7977.813675690632,""totalChecks"":71,""successfulChecks"":67},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""ArcaneLink"",""totalScore"":5000,""totalChecks"":71,""successfulChecks"":71},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-1"",""totalScore"":5000,""totalChecks"":71,""successfulChecks"":71},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-2"",""totalScore"":5000,""totalChecks"":71,""successfulChecks"":71},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""NorthernFiles"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""UberPendragon"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0}]"
71,9,32277.894671631526,2,"[{""lost"":53,""score"":7598.978260085856,""stolen"":283,""shortname"":""SeaOfHackerz"",""totalScore"":7277.894671631524,""totalChecks"":71,""successfulChecks"":68},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""ArcaneLink"",""totalScore"":5000,""totalChecks"":71,""successfulChecks"":71},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-1"",""totalScore"":5000,""totalChecks"":71,""successfulChecks"":71},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-2"",""totalScore"":5000,""totalChecks"":71,""successfulChecks"":71},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""NorthernFiles"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""UberPendragon"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0}]"
