round,id,score,position,services
137,6,36769.138975854854,1,"[{""lost"":26,""score"":10295.503318683297,""stolen"":724,""shortname"":""SeaOfHackerz"",""totalScore"":9694.3060445996,""totalChecks"":137,""successfulChecks"":129},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""ArcaneLink"",""totalScore"":5000,""totalChecks"":137,""successfulChecks"":137},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-1"",""totalScore"":5000,""totalChecks"":137,""successfulChecks"":137},{""lost"":0,""score"":7178.999597921919,""stolen"":163,""shortname"":""MaScroll-2"",""totalScore"":7178.999597921919,""totalChecks"":137,""successfulChecks"":137},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""NorthernFiles"",""totalScore"":5000,""totalChecks"":48,""successfulChecks"":48},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""UberPendragon"",""totalScore"":4895.833333333333,""totalChecks"":48,""successfulChecks"":47}]"
137,4,35327.35838091159,2,"[{""lost"":73,""score"":9022.653581419148,""stolen"":653,""shortname"":""SeaOfHackerz"",""totalScore"":8364.065728760816,""totalChecks"":137,""successfulChecks"":127},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""ArcaneLink"",""totalScore"":5000,""totalChecks"":137,""successfulChecks"":137},{""lost"":0,""score"":6963.292652150774,""stolen"":139,""shortname"":""MaScroll-1"",""totalScore"":6963.292652150774,""totalChecks"":137,""successfulChecks"":137},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-2"",""totalScore"":5000,""totalChecks"":137,""successfulChecks"":137},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""NorthernFiles"",""totalScore"":5000,""totalChecks"":48,""successfulChecks"":48},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""UberPendragon"",""totalScore"":5000,""totalChecks"":48,""successfulChecks"":48}]"
53,4,31779.090804875224,1,"[{""lost"":0,""score"":7644.506652306101,""stolen"":212,""shortname"":""SeaOfHackerz"",""totalScore"":6779.090804875223,""totalChecks"":53,""successfulChecks"":47},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""ArcaneLink"",""totalScore"":5000,""totalChecks"":53,""successfulChecks"":53},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-1"",""totalScore"":5000,""totalChecks"":53,""successfulChecks"":53},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-2"",""totalScore"":5000,""totalChecks"":53,""successfulChecks"":53},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""NorthernFiles"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""UberPendragon"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0}]"
53,6,31406.32288078653,2,"[{""lost"":6,""score"":6929.2880139119625,""stolen"":157,""shortname"":""SeaOfHackerz"",""totalScore"":6406.322880786532,""totalChecks"":53,""successfulChecks"":49},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""ArcaneLink"",""totalScore"":5000,""totalChecks"":53,""successfulChecks"":53},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-1"",""totalScore"":5000,""totalChecks"":53,""successfulChecks"":53},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-2"",""totalScore"":5000,""totalChecks"":53,""successfulChecks"":53},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""NorthernFiles"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""UberPendragon"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0}]"
53,9,31357.892866434348,3,"[{""lost"":31,""score"":6480.160036942701,""stolen"":146,""shortname"":""SeaOfHackerz"",""totalScore"":6357.8928664343475,""totalChecks"":53,""successfulChecks"":52},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""ArcaneLink"",""totalScore"":5000,""totalChecks"":53,""successfulChecks"":53},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-1"",""totalScore"":5000,""totalChecks"":53,""successfulChecks"":53},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-2"",""totalScore"":5000,""totalChecks"":53,""successfulChecks"":53},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""NorthernFiles"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""UberPendragon"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0}]"
53,8,30072.69822709702,4,"[{""lost"":6,""score"":6851.104292419625,""stolen"":151,""shortname"":""SeaOfHackerz"",""totalScore"":6204.773698795133,""totalChecks"":53,""successfulChecks"":48},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""ArcaneLink"",""totalScore"":5000,""totalChecks"":53,""successfulChecks"":53},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-1"",""totalScore"":4716.981132075472,""totalChecks"":53,""successfulChecks"":50},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-2"",""totalScore"":4150.943396226416,""totalChecks"":53,""successfulChecks"":44},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""NorthernFiles"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""UberPendragon"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0}]"
53,5,28824.843270730107,5,"[{""lost"":102,""score"":4826.587936873705,""stolen"":84,""shortname"":""SeaOfHackerz"",""totalScore"":3824.8432707301063,""totalChecks"":53,""successfulChecks"":42},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""ArcaneLink"",""totalScore"":5000,""totalChecks"":53,""successfulChecks"":53},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-1"",""totalScore"":5000,""totalChecks"":53,""successfulChecks"":53},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-2"",""totalScore"":5000,""totalChecks"":53,""successfulChecks"":53},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""NorthernFiles"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""UberPendragon"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0}]"
53,7,28715.327982695264,6,"[{""lost"":60,""score"":4189.625171975509,""stolen"":1,""shortname"":""SeaOfHackerz"",""totalScore"":3715.327982695263,""totalChecks"":53,""successfulChecks"":47},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""ArcaneLink"",""totalScore"":5000,""totalChecks"":53,""successfulChecks"":53},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-1"",""totalScore"":5000,""totalChecks"":53,""successfulChecks"":53},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-2"",""totalScore"":5000,""totalChecks"":53,""successfulChecks"":53},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""NorthernFiles"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""UberPendragon"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0}]"
53,3,28284.331341377772,7,"[{""lost"":136,""score"":3284.3313413777746,""stolen"":0,""shortname"":""SeaOfHackerz"",""totalScore"":3284.3313413777746,""totalChecks"":53,""successfulChecks"":53},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""ArcaneLink"",""totalScore"":5000,""totalChecks"":53,""successfulChecks"":53},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-1"",""totalScore"":5000,""totalChecks"":53,""successfulChecks"":53},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-2"",""totalScore"":5000,""totalChecks"":53,""successfulChecks"":53},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""NorthernFiles"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""UberPendragon"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0}]"
53,2,28277.124053851156,8,"[{""lost"":136,""score"":3277.1240538511574,""stolen"":0,""shortname"":""SeaOfHackerz"",""totalScore"":3277.1240538511574,""totalChecks"":53,""successfulChecks"":53},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""ArcaneLink"",""totalScore"":5000,""totalChecks"":53,""successfulChecks"":53},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-1"",""totalScore"":5000,""totalChecks"":53,""successfulChecks"":53},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""MaScroll-2"",""totalScore"":5000,""totalChecks"":53,""successfulChecks"":53},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""NorthernFiles"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0},{""lost"":0,""score"":5000,""stolen"":0,""shortname"":""UberPendragon"",""totalScore"":5000,""totalChecks"":0,""successfulChecks"":0}]"
